,Total_Return_%,Avg_Daily_Return_%,Volatility_%,Max_Daily_Gain_%,Max_Daily_Loss_%
제넥신,-15.625,-0.00877237507039837,2.832417343540148,29.980276134122285,-7.815275310834813
라온피플,-15.719947159841475,-0.01707507041372527,2.446619977938639,10.122358175750845,-11.717171717171714
이씨에스,-15.807560137457044,-0.03901355387173147,1.2854499204404115,9.85401459854014,-4.3887147335423204
크레버스,-15.834996673320024,-0.043048297033599296,0.9002826881797664,4.863221884498481,-10.995445673389725
핌스,-15.84317937701396,-0.014022312125322428,2.667778390432598,29.885057471264375,-10.250297973778311
아스플로,-15.86280814576635,-0.01926454876170855,2.388315805089523,13.350125944584379,-7.554671968190851
테라젠이텍스,-15.88050314465409,-0.03939964419114024,1.2675972116982837,7.429718875502012,-5.359877488514552
한독크린텍,-15.91263650546022,-0.04346926881741596,0.8946154826984024,3.492063492063502,-4.833333333333334
디티앤씨,-16.00633914421553,-0.019737558442279677,2.4204961149903497,20.500782472613466,-10.780669144981413
코콤,-16.10660486674391,-0.032503668740429946,1.7875146963509547,16.268486916951087,-9.1118800461361
리더스코스메틱,-16.176470588235293,-0.03392248132457467,1.7000776231119992,9.913793103448265,-11.646586345381527
파인디앤씨,-16.19047619047619,-0.040296627590438706,1.274235343518512,7.162534435261714,-6.2218214607754785
빅텍,-16.241299303944313,-0.03703091715690391,1.5236466916727438,12.078977932636459,-8.913043478260875
엑스플러스,-16.271721958925756,-0.004445969020209783,3.056862139336736,29.85553772070626,-13.888888888888884
제노레이,-16.28318584070797,-0.044430283816507696,0.9245595249478981,5.893186003683248,-3.7769784172661858
차바이오텍,-16.327868852459016,-0.00675128934418606,2.819897722843343,17.16814159292035,-29.27321668909825
화성밸브,-16.376663254861825,0.014441218585112683,3.5646525291087525,29.893238434163692,-26.035502958579883
리메드,-16.41025641025641,-0.02998637252552849,1.966063097590721,10.69444444444445,-8.7741935483871
온코닉테라퓨틱스,-16.416184971098268,0.18953436272825452,6.098980828509429,29.97118155619596,-67.56134969325154
